"RealizationOfRec" "Verb" "AnimacyOfRec" "AnimacyOfTheme" "LengthOfTheme"
"1" "NP" "feed" "animate" "inanimate" 2.6390573
"2" "NP" "give" "animate" "inanimate" 1.0986123
"3" "NP" "give" "animate" "inanimate" 2.5649494
"4" "NP" "give" "animate" "inanimate" 1.6094379
"5" "NP" "offer" "animate" "inanimate" 1.0986123
"6" "NP" "give" "animate" "inanimate" 1.3862944
"7" "NP" "pay" "animate" "inanimate" 1.3862944
"8" "NP" "bring" "animate" "inanimate" 0
"9" "NP" "teach" "animate" "inanimate" 2.3978953
"10" "NP" "give" "animate" "inanimate" 0.6931472
"11" "NP" "offer" "animate" "inanimate" 1.0986123
"12" "NP" "give" "inanimate" "inanimate" 1.0986123
"13" "NP" "pay" "animate" "inanimate" 1.6094379
"14" "NP" "give" "animate" "inanimate" 0.6931472
"15" "NP" "give" "animate" "inanimate" 2.0794415
"16" "NP" "give" "animate" "inanimate" 0.6931472
"17" "NP" "send" "animate" "inanimate" 3.5553481
"18" "NP" "pay" "animate" "inanimate" 1.0986123
"19" "NP" "grant" "animate" "inanimate" 1.3862944
"20" "NP" "give" "animate" "inanimate" 1.7917595
"21" "NP" "give" "animate" "inanimate" 2.5649494
"22" "NP" "give" "animate" "inanimate" 1.9459101
"23" "NP" "give" "animate" "inanimate" 2.8903718
"24" "NP" "grant" "animate" "inanimate" 2.4849066
"25" "NP" "give" "animate" "inanimate" 2.3025851
"26" "NP" "give" "inanimate" "inanimate" 3.1354942
"27" "NP" "give" "inanimate" "inanimate" 0.6931472
"28" "NP" "give" "animate" "inanimate" 2.5649494
"29" "NP" "give" "animate" "inanimate" 2.8903718
"30" "NP" "send" "animate" "inanimate" 0
"31" "NP" "send" "animate" "inanimate" 0.6931472
"32" "NP" "deny" "animate" "inanimate" 2.8903718
"33" "NP" "give" "animate" "inanimate" 2.3025851
"34" "NP" "give" "animate" "inanimate" 2.3025851
"35" "NP" "give" "animate" "inanimate" 0.6931472
"36" "NP" "hand" "animate" "inanimate" 0.6931472
"37" "NP" "owe" "animate" "inanimate" 1.9459101
"38" "NP" "bring" "animate" "inanimate" 1.6094379
"39" "NP" "cost" "animate" "inanimate" 1.9459101
"40" "NP" "give" "animate" "inanimate" 1.9459101
"41" "NP" "give" "animate" "inanimate" 0.6931472
"42" "NP" "cost" "animate" "inanimate" 1.6094379
"43" "NP" "give" "animate" "inanimate" 3.5263605
"44" "NP" "cost" "animate" "inanimate" 0.6931472
"45" "NP" "give" "animate" "inanimate" 1.9459101
"46" "NP" "give" "animate" "inanimate" 1.7917595
"47" "NP" "offer" "animate" "inanimate" 1.0986123
"48" "NP" "give" "animate" "inanimate" 1.7917595
"49" "NP" "give" "animate" "inanimate" 1.0986123
"50" "NP" "give" "animate" "inanimate" 2.3978953
"51" "NP" "give" "animate" "inanimate" 2.6390573
"52" "NP" "give" "animate" "inanimate" 1.3862944
